Filename,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b
ligand-509-p-p-44-int1,"[2, 3, 16, 25, 35, 55]","[2, 3, 4, 7, 17, 18, 26, 27, 36, 37, 56]","[1, 4, 5, 6, 7, 9, 14, 15, 19, 20, 21, 28, 29, 30, 38, 39, 40, 45, 46, 57, 66, 101]","[2, 16, 55]","[3, 7, 17, 18, 56]","[4, 6, 9, 15, 19, 20, 21, 57, 66, 101]","[3, 25, 35]","[2, 4, 26, 27, 36, 37]","[1, 5, 7, 14, 28, 29, 30, 38, 39, 40, 45, 46]"
ligand-511-p-p-46-int1,"[2, 13, 24, 31, 37, 48]","[3, 4, 14, 15, 25, 26, 30, 32, 34, 38, 39, 49, 50]","[5, 6, 7, 8, 16, 17, 18, 19, 25, 27, 28, 30, 33, 40, 41, 42, 43, 51, 52, 53, 54, 63, 64]","[31, 37, 48]","[30, 32, 34, 38, 39, 49, 50]","[19, 25, 33, 40, 41, 42, 43, 51, 52, 53, 54, 64]","[2, 13, 24]","[3, 4, 14, 15, 25, 26]","[5, 6, 7, 8, 16, 17, 18, 19, 27, 28, 30, 43, 63]"
ligand-512-p-p-47-int1,"[2, 12, 22, 29, 35, 45]","[3, 4, 13, 14, 23, 24, 28, 30, 32, 36, 37, 46, 47, 78]","[5, 6, 7, 14, 15, 16, 17, 23, 25, 26, 28, 31, 38, 39, 40, 48, 49, 50, 59, 60, 76, 77, 78, 79, 88]","[29, 35, 45]","[28, 30, 32, 36, 37, 46, 47, 78]","[14, 23, 31, 38, 39, 40, 48, 49, 50, 60, 76, 77, 88]","[2, 12, 22]","[3, 4, 13, 14, 23, 24]","[5, 6, 7, 15, 16, 17, 25, 26, 28, 40, 59, 78, 79]"
ligand-513-p-p-48-int1,"[2, 3, 15, 26, 37, 47]","[2, 3, 4, 7, 16, 17, 27, 28, 38, 39, 43, 48, 49, 53]","[1, 4, 5, 6, 7, 8, 13, 14, 18, 19, 20, 21, 29, 30, 31, 32, 40, 41, 42, 44, 45, 46, 50, 51, 52, 54, 55, 56]","[2, 15, 26]","[3, 7, 16, 17, 27, 28]","[4, 6, 8, 14, 18, 19, 20, 21, 29, 30, 31, 32]","[3, 37, 47]","[2, 4, 38, 39, 43, 48, 49, 53]","[1, 5, 7, 13, 40, 41, 42, 44, 45, 46, 50, 51, 52, 54, 55, 56]"
ligand-514-p-p-49-int1,"[2, 3, 15, 26, 37, 47]","[2, 3, 4, 7, 16, 17, 27, 28, 38, 39, 43, 48, 49, 53]","[1, 4, 5, 6, 7, 8, 13, 14, 18, 19, 20, 21, 29, 30, 31, 32, 40, 41, 42, 44, 45, 46, 50, 51, 52, 54, 55, 56]","[2, 15, 26]","[3, 7, 16, 17, 27, 28]","[4, 6, 8, 14, 18, 19, 20, 21, 29, 30, 31, 32]","[3, 37, 47]","[2, 4, 38, 39, 43, 48, 49, 53]","[1, 5, 7, 13, 40, 41, 42, 44, 45, 46, 50, 51, 52, 54, 55, 56]"
ligand-515-p-p-50-int1,"[2, 5, 7, 9, 15, 25]","[2, 3, 4, 7, 8, 16, 17, 26, 27, 35, 51]","[1, 3, 4, 6, 8, 13, 14, 18, 19, 20, 28, 29, 30, 36, 40, 45, 47, 54, 101, 102]","[5, 7, 9]","[2, 4, 8, 35, 51]","[1, 3, 13, 36, 40, 45, 47, 54]","[2, 15, 25]","[3, 7, 16, 17, 26, 27]","[4, 6, 8, 14, 18, 19, 20, 28, 29, 30, 101, 102]"
ligand-516-p-p-51-int1,"[2, 5, 7, 9, 15, 25]","[2, 3, 4, 7, 8, 16, 17, 26, 27, 35, 51]","[1, 3, 4, 6, 8, 13, 14, 18, 19, 20, 28, 29, 30, 36, 40, 45, 47, 54, 79, 80]","[5, 7, 9]","[2, 4, 8, 35, 51]","[1, 3, 13, 36, 40, 45, 47, 54]","[2, 15, 25]","[3, 7, 16, 17, 26, 27]","[4, 6, 8, 14, 18, 19, 20, 28, 29, 30, 79, 80]"
ligand-517-p-p-52-int1,"[2, 5, 7, 9, 15, 25]","[2, 3, 4, 7, 8, 16, 17, 26, 27, 35, 51]","[1, 3, 4, 6, 8, 13, 14, 18, 19, 20, 28, 29, 30, 36, 40, 45, 47, 54, 79, 80]","[5, 7, 9]","[2, 4, 8, 35, 51]","[1, 3, 13, 36, 40, 45, 47, 54]","[2, 15, 25]","[3, 7, 16, 17, 26, 27]","[4, 6, 8, 14, 18, 19, 20, 28, 29, 30, 79, 80]"
ligand-518-p-p-53-int1,"[2, 5, 7, 9, 15, 25]","[2, 3, 4, 7, 8, 16, 17, 26, 27, 35, 49, 109, 117]","[1, 3, 4, 6, 8, 13, 14, 18, 19, 20, 28, 29, 30, 36, 44, 46, 52, 92, 93, 108, 110, 111, 116, 118]","[5, 7, 9]","[2, 4, 8, 35, 49, 109, 117]","[1, 3, 13, 36, 44, 46, 52, 108, 110, 111, 116, 118]","[2, 15, 25]","[3, 7, 16, 17, 26, 27]","[4, 6, 8, 14, 18, 19, 20, 28, 29, 30, 92, 93]"
ligand-519-p-p-54-int1,"[2, 5, 7, 9, 15, 25]","[2, 3, 4, 7, 8, 16, 17, 26, 27, 35, 51]","[1, 3, 4, 6, 8, 13, 14, 18, 19, 20, 28, 29, 30, 36, 40, 45, 47, 54, 99, 103]","[5, 7, 9]","[2, 4, 8, 35, 51]","[1, 3, 13, 36, 40, 45, 47, 54]","[2, 15, 25]","[3, 7, 16, 17, 26, 27]","[4, 6, 8, 14, 18, 19, 20, 28, 29, 30, 99, 103]"
ligand-520-n-o-80-int1,"[2, 3, 10]","[1, 3, 4, 6, 10, 12]","[4, 5, 7, 8, 9, 11, 12]","[2, 3]","[1, 4, 6, 10]","[5, 7, 9, 11, 12]",[10],"[3, 12]","[4, 8]"
ligand-521-n-o-81-int1,"[2, 3, 9]","[1, 3, 4, 6, 9, 11]","[4, 5, 7, 8, 10, 11, 25]","[2, 3]","[1, 4, 6, 9]","[5, 7, 10, 11, 25]",[9],"[3, 11]","[4, 8]"
ligand-522-n-o-82-int1,"[2, 3, 9]","[1, 3, 4, 6, 9, 11]","[4, 5, 7, 8, 10, 11, 25]","[2, 3]","[1, 4, 6, 9]","[5, 7, 10, 11, 25]",[9],"[3, 11]","[4, 8]"
ligand-523-n-o-83-int1,"[1, 2, 15]","[3, 4, 5, 6, 12, 20]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 21, 22, 23]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 20]","[2, 13, 21, 22, 23]"
ligand-524-n-o-84-int1,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32]"
ligand-525-n-o-85-int1,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32]"
ligand-526-n-o-86-int1,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32, 33]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32, 33]"
ligand-527-n-o-87-int1,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32, 33]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32, 33]"
ligand-528-p-o-179-int1,"[4, 5, 7, 11, 40, 50]","[3, 8, 10, 12, 27, 39, 41, 45, 49]","[2, 4, 5, 9, 13, 15, 21, 28, 29, 38, 42, 46, 48, 53, 54, 74]","[5, 7, 11]","[3, 8, 10, 12]","[2, 4, 9, 13, 15, 21]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 74]"
ligand-53-p-c-18-int1,"[2, 15, 26, 41, 42]","[1, 3, 16, 17, 27, 28, 36, 37, 43]","[2, 4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 38, 39, 41, 44, 45]","[2, 15, 26]","[1, 3, 16, 17, 27, 28]","[4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 41]","[41, 42]","[1, 36, 37, 43]","[2, 6, 38, 39, 44, 45]"
ligand-530-p-o-181-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 79, 80]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 79, 80]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-531-p-o-182-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 58, 63]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 58, 63]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-532-p-o-183-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 58, 64]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 58, 64]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-55-p-c-20-int1,"[2, 6, 37, 40, 41, 43]","[3, 5, 8, 14, 36, 39, 40, 41, 44, 45]","[1, 4, 9, 13, 15, 26, 37, 38, 42, 46, 47, 51, 53]","[2, 6, 41]","[3, 5, 8, 14, 36, 40]","[4, 9, 13, 15, 26, 37, 38, 42]","[37, 40, 43]","[36, 39, 41, 44, 45]","[1, 38, 46, 47, 51, 53]"
ligand-57-p-c-22-int1,"[2, 6, 9, 20, 38]","[3, 5, 8, 14, 15, 17, 18, 35, 40, 44]","[4, 7, 12, 13, 16, 19, 21, 33, 36, 39, 43, 45, 46]","[2, 6, 9, 20]","[3, 5, 8, 14, 15, 17, 18, 44]","[4, 7, 12, 13, 16, 19, 21, 33, 45, 46]",[38],"[35, 40]","[33, 36, 39, 43]"
ligand-58-p-c-23-int1,"[2, 6, 9, 20, 40, 46, 47]","[3, 5, 8, 14, 15, 17, 18, 36, 39, 43, 44, 49]","[4, 7, 12, 13, 16, 19, 21, 25, 37, 38, 41, 48]","[2, 6, 9, 20]","[3, 5, 8, 14, 15, 17, 18, 36]","[4, 7, 12, 13, 16, 19, 21, 25, 37, 38]","[40, 46, 47]","[39, 43, 44, 49]","[38, 41, 48]"
ligand-59-p-c-24-int1,"[2, 6, 9, 20, 40, 44, 45]","[3, 5, 8, 14, 15, 17, 18, 36, 39, 43, 70, 78]","[4, 7, 12, 13, 16, 19, 21, 25, 37, 38, 41, 46, 71, 72, 73, 79, 81]","[2, 6, 9, 20]","[3, 5, 8, 14, 15, 17, 18, 36]","[4, 7, 12, 13, 16, 19, 21, 25, 37, 38]","[40, 44, 45]","[39, 43, 70, 78]","[38, 41, 46, 71, 72, 73, 79, 81]"
ligand-90-p-o-16-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-91-p-o-17-int1,"[4, 5, 7, 11, 40, 50]","[3, 8, 10, 12, 27, 39, 41, 45, 49]","[2, 4, 5, 9, 13, 15, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[5, 7, 11]","[3, 8, 10, 12]","[2, 4, 9, 13, 15, 21]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]"
ligand-99-p-o-25-int1,"[2, 4, 18, 25]","[3, 6, 7, 11, 19, 20, 26, 27, 28]","[2, 4, 8, 10, 14, 21, 22, 29, 30, 31, 32, 33, 40, 55, 57]","[2, 18, 25]","[3, 11, 19, 20, 26, 27, 28]","[4, 8, 10, 14, 21, 22, 29, 30, 31, 32, 33, 40, 55, 57]",[4],"[3, 6, 7]","[2, 8]"
