filename,lig_node,rxn_node,ligand_name,candidate_literature,ni_atom_label,ligand_atom_1_label,ligand_atom_2_label,atoms_to_exclude
ligand-486-p-p-41-int1,486,CO_alt-ethylene,p-p-41,candidate,56,15,1,"[11,12,13,57,58,59,64,65,60,61,62,63]"
ligand-48-p-p-22-int1,48,CO_alt-ethylene,p-p-22,candidate,75,1,6,"[3,4,5,76,77,78,83,84,79,80,81,82]"
ligand-497-p-n-43-int1,497,CO_alt-ethylene,p-n-43,literature,70,1,7,"[2,3,4,61,62,63,64,65,66,67,68,69]"
ligand-498-n-n-109-int1,498,CO_alt-ethylene,n-n-109,candidate,79,1,7,
ligand-498-p-n-44-int1,498,CO_alt-ethylene,p-n-44,literature,79,1,7,"[2,3,4,80,81,82,83,84,85,86,87,88]"
ligand-499-n-n-110-int1,499,CO_alt-ethylene,n-n-110,candidate,57,1,7,
ligand-499-p-n-45-int1,499,CO_alt-ethylene,p-n-45,literature,57,1,7,"[2,3,4,58,59,60,61,62,63,64,65,66]"
ligand-500-p-o-171-int1,500,CO_alt-ethylene,p-o-171,literature,19,1,5,"[16,17,18,20,21,22,23,24,25,26,27,28]"
ligand-501-p-o-172-int1,501,CO_alt-ethylene,p-o-172,literature,37,1,5,"[16,17,18,38,39,40,41,42,43,44,45,46]"
ligand-502-p-o-173-int1,502,CO_alt-ethylene,p-o-173,literature,19,1,5,"[16,17,18,20,21,22,23,24,25,26,27,28]"
ligand-503-p-o-174-int1,503,CO_alt-ethylene,p-o-174,literature,38,1,5,"[16,17,18,39,40,41,42,43,44,45,46,47]"
ligand-504-p-o-175-int1,504,CO_alt-ethylene,p-o-175,literature,19,1,5,"[16,17,18,20,21,22,23,24,25,26,27,28]"
ligand-508-p-p-43-int1,508,CO_alt-ethylene,p-p-43,literature,106,1,15,"[11,12,13,97,98,99,100,101,102,103,104,105]"
ligand-509-p-p-44-int1,509,CO_alt-ethylene,p-p-44,literature,100,1,15,"[11,12,13,91,92,93,94,95,96,97,98,99]"
ligand-510-p-p-45-int1,510,CO_alt-ethylene,p-p-45,literature,76,36,1,"[59,60,61,77,78,79,80,81,82,83,84,85]"
ligand-511-p-p-46-int1,511,CO_alt-ethylene,p-p-46,literature,68,36,1,"[59,60,61,69,70,71,72,73,74,75,76,77]"
ligand-512-p-p-47-int1,512,CO_alt-ethylene,p-p-47,literature,64,34,1,"[55,56,57,65,66,67,68,69,70,71,72,73]"
ligand-513-p-p-48-int1,513,CO_alt-ethylene,p-p-48,literature,91,1,14,"[10,11,12,92,93,94,95,96,97,98,99,100]"
ligand-514-p-p-49-int1,514,CO_alt-ethylene,p-p-49,literature,85,1,14,"[10,11,12,86,87,88,89,90,91,92,93,94]"
ligand-515-p-p-50-int1,515,CO_alt-ethylene,p-p-50,literature,63,1,14,"[10,11,12,64,65,66,67,68,69,70,71,72]"
ligand-516-p-p-51-int1,516,CO_alt-ethylene,p-p-51,literature,63,1,14,"[10,11,12,64,65,66,67,68,69,70,71,72]"
ligand-517-p-p-52-int1,517,CO_alt-ethylene,p-p-52,literature,63,1,14,"[10,11,12,64,65,66,67,68,69,70,71,72]"
ligand-518-p-p-53-int1,518,CO_alt-ethylene,p-p-53,literature,60,1,14,"[10,11,12,61,62,63,64,65,66,67,68,69]"
ligand-519-p-p-54-int1,519,CO_alt-ethylene,p-p-54,literature,63,1,14,"[10,11,12,64,65,66,67,68,69,70,71,72]"
ligand-520-n-o-80-int1,520,CO_alt-ethylene,n-o-80,literature,16,8,11,"[13,14,15,17,18,19,20,21,22,23,24,25]"
ligand-521-n-o-81-int1,521,CO_alt-ethylene,n-o-81,literature,16,8,10,"[12,13,14,16,17,18,19,20,21,22,23,24]"
ligand-522-n-o-82-int1,522,CO_alt-ethylene,n-o-82,literature,15,8,10,"[12,13,14,16,17,18,19,20,21,22,23,24]"
ligand-523-n-o-83-int1,523,CO_alt-ethylene,n-o-83,literature,24,11,16,"[17,18,19,25,26,27,28,29,30,31,32,33]"
ligand-524-n-o-84-int1,524,CO_alt-ethylene,n-o-84,literature,20,11,16,"[17,18,19,21,22,23,28,24,25,26,27,29]"
ligand-525-n-o-85-int1,525,CO_alt-ethylene,n-o-85,literature,20,11,16,"[17,18,19,21,22,23,28,24,25,26,27,29]"
ligand-526-n-o-86-int1,526,CO_alt-ethylene,n-o-86,literature,20,11,16,"[17,18,19,21,22,23,28,24,25,26,27,29]"
ligand-527-n-o-87-int1,527,CO_alt-ethylene,n-o-87,literature,20,11,16,"[17,18,19,21,22,23,28,24,25,26,27,29]"
ligand-528-p-o-179-int1,528,CO_alt-ethylene,p-o-179,literature,58,1,2,"[55,56,57,59,60,61,62,63,64,65,66,67]"
ligand-529-p-o-180-int1,529,CO_alt-ethylene,p-o-180,literature,69,1,2,"[55,56,57,70,71,72,73,74,75,76,77,78]"
ligand-530-p-o-181-int1,530,CO_alt-ethylene,p-o-181,literature,67,1,2,"[55,56,57,68,69,70,71,72,73,74,75,76]"
ligand-531-p-o-182-int1,531,CO_alt-ethylene,p-o-182,literature,69,1,2,"[55,56,57,70,71,72,73,74,75,76,77,78]"
ligand-532-p-o-183-int1,532,CO_alt-ethylene,p-o-183,literature,77,1,2,"[55,56,57,78,79,80,81,82,83,84,85,86]"
ligand-53-p-c-18-int1,53,CO_alt-ethylene,p-c-18,candidate,54,14,40,"[10,11,12,55,56,57,62,63,58,59,60,61]"
ligand-55-p-c-20-int1,55,CO_alt-ethylene,p-c-20,candidate,73,14,40,"[10,11,12,74,75,76,77,78,79,80,81,82]"
ligand-57-p-c-22-int1,57,CO_alt-ethylene,p-c-22,candidate,90,46,18,"[63,64,65,91,92,93,98,99,94,95,96,97]"
ligand-58-p-c-23-int1,58,CO_alt-ethylene,p-c-23,candidate,86,38,18,"[61,62,63,87,88,89,94,90,91,92,93,95]"
ligand-59-p-c-24-int1,59,CO_alt-ethylene,p-c-24,candidate,113,38,18,"[55,56,57,104,105,106,111,112,107,108,109,110]"
ligand-90-p-o-16-int1,90,CO_alt-ethylene,p-o-16,literature,58,1,2,"[55,56,57,59,60,61,62,63,64,65,66,67]"
ligand-91-p-o-17-int1,91,CO_alt-ethylene,p-o-17,literature,75,6,1,"[55,56,57,59,60,61,62,63,64,65,66,67]"
