Filename,Ni_atom_label,Ligand_atom_1_label,Ligand_atom_2_label,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b,Atoms_to_exclude
ligand-312-p-o-121-int1,76,1,5,"[2, 4, 17, 32]","[3, 6, 7, 11, 18, 19, 20, 33, 34, 35]","[2, 4, 8, 10, 13, 21, 22, 23, 24, 25, 36, 37, 38, 39, 40, 51, 65]","[2, 17, 32]","[3, 11, 18, 19, 20, 33, 34, 35]","[4, 8, 10, 13, 21, 22, 23, 24, 25, 36, 37, 38, 39, 40, 51, 65]",[4],"[3, 6, 7]","[2, 8]","[14, 15, 16, 77, 78, 79, 84, 85, 80, 81, 82, 83]"
ligand-315-n-n-29-int1,163,3,4,"[1, 2, 9, 22]","[1, 2, 5, 10, 11, 23, 24, 31]","[3, 4, 5, 6, 7, 8, 12, 13, 18, 20, 25, 26, 31, 32, 33, 34, 35, 37]","[1, 9]","[2, 5, 10, 11]","[4, 6, 7, 8, 12, 13, 18, 20, 31]","[2, 22]","[1, 23, 24, 31]","[3, 5, 25, 26, 32, 33, 34, 35, 37]","[39, 40, 41, 154, 155, 156, 161, 162, 157, 158, 159, 160]"
ligand-339-n-n-47-int1,90,4,3,"[1, 2, 5, 13]","[1, 2, 6, 7, 14, 15, 24, 27]","[3, 4, 8, 9, 16, 17, 24, 25, 26, 27, 31, 38, 40, 42, 44]","[2, 13]","[1, 14, 15, 24]","[3, 16, 17, 25, 26, 27, 38, 44]","[1, 5]","[2, 6, 7, 27]","[4, 8, 9, 24, 25, 31, 40, 42]","[21, 22, 23, 91, 92, 93, 98, 99, 94, 95, 96, 97]"
ligand-349-p-o-128-int1,48,1,5,"[2, 4, 8, 9]","[3, 6, 7, 13, 17, 21, 26, 30]","[2, 4, 10, 12, 16, 18, 20, 22, 27, 29, 34, 39, 40]","[2, 8, 9]","[3, 13, 17, 21, 26, 30]","[4, 10, 12, 16, 18, 20, 22, 27, 29, 34, 39, 40]",[4],"[3, 6, 7]","[2, 10]","[35, 36, 37, 49, 50, 51, 56, 52, 53, 54, 55, 57]"
ligand-350-p-o-129-int1,54,1,6,"[2, 4, 8, 9]","[3, 5, 7, 13, 17, 21, 26, 30]","[2, 4, 10, 12, 16, 18, 20, 22, 27, 29, 34, 39, 40, 43]","[2, 8, 9]","[3, 13, 17, 21, 26, 30]","[4, 10, 12, 16, 18, 20, 22, 27, 29, 34, 39, 40]",[4],"[3, 5, 7]","[2, 10, 43]","[35, 36, 37, 55, 56, 57, 62, 63, 58, 59, 60, 61]"
ligand-407-p-o-138-int1,63,1,5,"[2, 4, 8, 9]","[3, 6, 7, 13, 16, 20, 25, 29]","[2, 4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]","[2, 8, 9]","[3, 13, 16, 20, 25, 29]","[4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]",[4],"[3, 6, 7]","[2, 10]","[34, 35, 36, 64, 65, 66, 71, 72, 67, 68, 69, 70]"
ligand-408-p-o-139-int1,77,1,5,"[2, 4, 8, 9]","[3, 6, 7, 13, 16, 20, 25, 29]","[2, 4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]","[2, 8, 9]","[3, 13, 16, 20, 25, 29]","[4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]",[4],"[3, 6, 7]","[2, 10]","[34, 35, 36, 78, 79, 80, 85, 86, 81, 82, 83, 84]"
ligand-410-p-p-30-int1,56,1,15,"[2, 3, 16, 25, 27, 29]","[2, 3, 4, 7, 17, 21, 26, 28, 30, 34, 38, 39, 40, 44, 48, 52]","[1, 4, 5, 6, 7, 9, 14, 15, 18, 19, 20, 22, 23, 24, 31, 32, 33, 35, 36, 37, 41, 42, 43, 45, 46, 47, 49, 50, 51, 53, 54, 55]","[2, 27, 29]","[3, 7, 28, 30, 34, 38, 48, 52]","[4, 6, 9, 15, 31, 32, 33, 35, 36, 37, 49, 50, 51, 53, 54, 55]","[3, 16, 25]","[2, 4, 17, 21, 26, 39, 40, 44]","[1, 5, 7, 14, 18, 19, 20, 22, 23, 24, 41, 42, 43, 45, 46, 47]","[11, 12, 13, 57, 58, 59, 64, 65, 60, 61, 62, 63]"
ligand-468-p-o-165-int1,55,1,30,"[2, 3, 4, 5]","[2, 3, 6, 9, 12, 16, 21, 25]","[1, 6, 7, 8, 9, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36, 65]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36]",[3],"[2, 6]","[1, 7, 9, 65]","[33, 34, 35, 56, 57, 58, 63, 64, 59, 60, 61, 62]"
ligand-469-p-o-166-int1,102,1,30,"[2, 3, 4, 5]","[2, 3, 6, 9, 12, 16, 21, 25]","[1, 6, 7, 8, 9, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36, 55]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36]",[3],"[2, 6]","[1, 7, 9, 55]","[33, 34, 35, 103, 104, 105, 110, 111, 106, 107, 108, 109]"
ligand-471-p-o-168-int1,15,1,10,"[2, 3, 38, 55]","[2, 3, 4, 7, 39, 40, 41, 56, 57, 58]","[1, 4, 5, 6, 7, 9, 10, 25, 42, 43, 44, 45, 46, 47, 59, 60, 61, 62, 63, 64]","[2, 38, 55]","[3, 7, 39, 40, 41, 56, 57, 58]","[4, 6, 9, 10, 42, 43, 44, 45, 46, 47, 59, 60, 61, 62, 63, 64]",[3],"[2, 4]","[1, 5, 7, 25]","[12, 13, 14, 16, 17, 18, 23, 24, 19, 20, 21, 22]"
ligand-472-p-o-169-int1,62,1,27,"[2, 3, 4, 5]","[2, 3, 7, 9, 13, 18, 22, 53]","[1, 6, 7, 8, 10, 12, 14, 19, 21, 26, 27, 29, 33, 52, 53, 55]","[2, 4, 5]","[3, 7, 9, 13, 18, 22]","[6, 8, 10, 12, 14, 19, 21, 26, 27, 29, 33, 53]",[3],"[2, 53]","[1, 7, 52, 55]","[30, 31, 32, 63, 64, 65, 66, 67, 68, 69, 70, 71]"
ligand-81-p-o-7-int1,55,1,30,"[2, 3, 4, 5]","[2, 3, 6, 9, 12, 16, 21, 25]","[1, 6, 7, 8, 9, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36, 65]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36]",[3],"[2, 6]","[1, 7, 9, 65]","[33, 34, 35, 56, 57, 58, 63, 64, 59, 60, 61, 62]"
ligand-84-p-o-10-int1,66,1,28,"[2, 3, 4, 5]","[2, 3, 6, 9, 12, 16, 20, 24]","[1, 6, 7, 8, 9, 11, 13, 15, 21, 23, 28, 33, 34, 43, 48, 53]","[2, 4, 5]","[3, 9, 12, 16, 20, 24]","[6, 8, 11, 13, 15, 21, 23, 28, 33, 34, 43, 48]",[3],"[2, 6]","[1, 7, 9, 53]","[30, 31, 32, 67, 68, 75, 73, 74, 69, 70, 71, 72]"
ligand-85-p-o-11-int1,74,1,5,"[2, 4, 19, 48]","[3, 6, 7, 11, 20, 21, 49, 50, 51]","[2, 4, 8, 10, 15, 22, 23, 24, 29, 52, 53, 54, 55, 56, 57]","[2, 19, 48]","[3, 11, 20, 21, 49, 50, 51]","[4, 8, 10, 15, 22, 23, 24, 29, 52, 53, 54, 55, 56, 57]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 65, 66, 67, 72, 73, 68, 70, 71, 69]"
ligand-86-p-o-12-int1,69,1,5,"[2, 4, 18, 29]","[3, 6, 7, 11, 19, 20, 30, 31]","[2, 4, 8, 10, 14, 21, 22, 23, 24, 32, 33, 34, 39]","[2, 18, 29]","[3, 11, 19, 20, 30, 31]","[4, 8, 10, 14, 21, 22, 23, 24, 32, 33, 34, 39]",[4],"[3, 6, 7]","[2, 8]","[15, 16, 17, 70, 71, 72, 77, 78, 73, 74, 75, 76]"
ligand-87-p-o-13-int1,57,1,5,"[2, 4, 19, 58]","[3, 6, 7, 11, 20, 21, 59, 63, 67]","[2, 4, 8, 10, 15, 22, 23, 24, 29, 60, 61, 62, 64, 65, 66, 68, 69]","[2, 19, 58]","[3, 11, 20, 21, 59, 63, 67]","[4, 8, 10, 15, 22, 23, 24, 29, 60, 61, 62, 64, 65, 66, 68, 69]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
ligand-88-p-o-14-int1,71,1,5,"[2, 4, 18, 29]","[3, 6, 7, 11, 19, 20, 30, 31]","[2, 4, 8, 10, 14, 21, 22, 23, 24, 32, 33, 34, 39]","[2, 18, 29]","[3, 11, 19, 20, 30, 31]","[4, 8, 10, 14, 21, 22, 23, 24, 32, 33, 34, 39]",[4],"[3, 6, 7]","[2, 8]","[15, 16, 17, 72, 73, 74, 79, 80, 75, 76, 77, 78]"
ligand-92-p-o-18-int1,52,1,5,"[2, 4, 18, 32]","[3, 6, 7, 11, 19, 20, 33, 34]","[2, 4, 8, 10, 14, 21, 22, 23, 35, 36, 37, 42, 43]","[2, 18, 32]","[3, 11, 19, 20, 33, 34]","[4, 8, 10, 14, 21, 22, 23, 35, 36, 37, 42, 43]",[4],"[3, 6, 7]","[2, 8]","[15, 16, 17, 53, 54, 55, 60, 61, 56, 57, 58, 59]"
ligand-96-p-o-22-int1,71,1,5,"[2, 4, 18, 31]","[3, 6, 7, 11, 19, 20, 32, 33, 34]","[2, 4, 8, 10, 14, 21, 22, 26, 35, 36, 37, 38, 39, 46, 60]","[2, 18, 31]","[3, 11, 19, 20, 32, 33, 34]","[4, 8, 10, 14, 21, 22, 26, 35, 36, 37, 38, 39, 46, 60]",[4],"[3, 6, 7]","[2, 8]","[15, 16, 17, 72, 73, 74, 79, 80, 75, 77, 76, 78]"
ligand-97-p-o-23-int1,77,1,5,"[2, 4, 18, 26]","[3, 6, 7, 11, 19, 20, 27, 28, 29]","[2, 4, 8, 10, 14, 21, 22, 30, 31, 32, 33, 34, 41, 56, 57]","[2, 18, 26]","[3, 11, 19, 20, 27, 28, 29]","[4, 8, 10, 14, 21, 22, 30, 31, 32, 33, 34, 41, 56, 57]",[4],"[3, 6, 7]","[2, 8]","[15, 16, 17, 78, 79, 80, 85, 86, 81, 82, 83, 84]"
ligand-99-p-o-25-int1,69,1,5,"[2, 4, 18, 25]","[3, 6, 7, 11, 19, 20, 26, 27, 28]","[2, 4, 8, 10, 14, 21, 22, 29, 30, 31, 32, 33, 40, 55, 57]","[2, 18, 25]","[3, 11, 19, 20, 26, 27, 28]","[4, 8, 10, 14, 21, 22, 29, 30, 31, 32, 33, 40, 55, 57]",[4],"[3, 6, 7]","[2, 8]","[15, 16, 17, 70, 71, 72, 77, 73, 74, 75, 76, 78]"
