lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster
168,CO_nonalt-ethylene,6,0.2857142857142857,38,5,2,2.5,53,5,265
046,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
162,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
263,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
400,CO_nonalt-ethylene,9,0.4090909090909091,57,3,2,1.5,46,5,230
332,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
145,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
266,CO_nonalt-ethylene,10,0.4166666666666667,95,2,2,1.0,44,5,220
087,CO_nonalt-ethylene,0,0.0,38,3,2,1.5,46,5,230
151,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
308,CO_nonalt-ethylene,6,0.2608695652173913,76,3,2,1.5,46,5,230
056,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
289,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
183,CO_nonalt-ethylene,6,0.2727272727272727,57,5,2,2.5,53,5,265
111,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
339,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,27,5,135
345,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
221,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
188,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
423,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
427,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
035,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
364,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
388,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
243,CO_nonalt-ethylene,6,0.2857142857142857,38,6,2,3.0,51,5,255
121,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
424,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
440,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,27,5,135
116,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
203,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
174,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
386,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
299,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
100,CO_nonalt-ethylene,10,0.4,114,6,2,3.0,51,5,255
411,CO_nonalt-ethylene,10,0.43478260869565216,76,2,2,1.0,44,5,220
041,CO_nonalt-ethylene,6,0.20689655172413793,190,2,2,1.0,44,5,220
292,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
095,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
260,CO_nonalt-ethylene,0,0.0,57,6,2,3.0,51,5,255
008,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
189,CO_nonalt-ethylene,5,0.21739130434782608,76,6,2,3.0,51,5,255
320,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
123,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
086,CO_nonalt-ethylene,6,0.2727272727272727,57,3,2,1.5,46,5,230
104,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
212,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
390,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
132,CO_nonalt-ethylene,8,0.3333333333333333,95,3,2,1.5,46,5,230
159,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
407,CO_nonalt-ethylene,11,0.44,114,6,2,3.0,51,5,255
125,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
173,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
155,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
280,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
196,CO_nonalt-ethylene,8,0.3333333333333333,95,5,2,2.5,27,5,135
444,CO_nonalt-ethylene,8,0.38095238095238093,38,6,2,3.0,51,5,255
226,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
309,CO_nonalt-ethylene,9,0.36,114,5,2,2.5,53,5,265
074,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
354,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
225,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
031,CO_nonalt-ethylene,6,0.2857142857142857,38,3,2,1.5,46,5,230
071,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
255,CO_nonalt-ethylene,13,0.4642857142857143,171,3,2,1.5,46,5,230
236,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
312,CO_nonalt-ethylene,2,0.09523809523809523,38,5,2,2.5,53,5,265
176,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
438,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
405,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
335,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
220,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
303,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
295,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
013,CO_nonalt-ethylene,0,0.0,38,6,2,3.0,51,5,255
119,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
044,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
463,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
271,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
367,CO_nonalt-ethylene,5,0.25,19,2,2,1.0,44,5,220
150,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
163,CO_nonalt-ethylene,7,0.2916666666666667,95,3,2,1.5,46,5,230
446,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
139,CO_nonalt-ethylene,5,0.25,19,6,2,3.0,51,5,255
325,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
133,CO_nonalt-ethylene,5,0.22727272727272727,57,2,2,1.0,44,5,220
020,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
305,CO_nonalt-ethylene,9,0.34615384615384615,133,3,2,1.5,46,5,230
029,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
231,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
021,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
391,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
414,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
361,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
449,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
467,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
102,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,27,5,135
434,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
239,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
107,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
097,CO_nonalt-ethylene,6,0.2727272727272727,57,6,2,3.0,51,5,255
412,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
455,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
184,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
258,CO_nonalt-ethylene,9,0.3333333333333333,152,5,2,2.5,27,5,135
267,CO_nonalt-ethylene,7,0.2916666666666667,95,6,2,3.0,51,5,255
002,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
043,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
425,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
342,CO_nonalt-ethylene,9,0.4090909090909091,57,3,2,1.5,46,5,230
327,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
083,CO_nonalt-ethylene,8,0.34782608695652173,76,5,2,2.5,27,5,135
228,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
113,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
098,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
311,CO_nonalt-ethylene,2,0.1,19,5,2,2.5,53,5,265
205,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
117,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
092,CO_nonalt-ethylene,7,0.30434782608695654,76,5,2,2.5,53,5,265
351,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
307,CO_nonalt-ethylene,8,0.3333333333333333,95,3,2,1.5,46,5,230
261,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
318,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
172,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
