lig_id,ligand_name,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton
44,p-p-18,81,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,4
18,p-c-5,82,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,81,,16,,
19,p-c-6,83,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,85,,16,,
20,p-c-7,84,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,99,,16,,
21,p-c-8,85,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,89,,9,,
22,p-c-9,86,Inorganica Chimica Acta 357 (2004) 4313–4321,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,3,,83,,16,,
23,p-c-10,87,Journal of Molecular Catalysis A: Chemical 259 (2006) 7–10,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,2,,96,,1,,
24,p-c-11,88,Journal of Molecular Catalysis A: Chemical 259 (2006) 7–10,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,2,,94,,1.5,,
25,p-c-12,89,Journal of Molecular Catalysis A: Chemical 259 (2006) 7–10,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,2,,97,,1.5,,
26,p-c-13,90,Journal of Molecular Catalysis A: Chemical 259 (2006) 7–10,Aryl halidePhenylboronic acid,Pd,Aryl halide,Phenylboronic acid,dioxane,80,1,1.5,cs2co3,400,,,0.666666667,2,,85,,3,,
42,p-p-16,91,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,MeOH,50,50,50,,,,,1,20,,,,1,,220
43,p-p-17,92,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,MeOH,50,50,50,,,,,1,20,,,,1,,350
12,p-p-12,93,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,MeOH,25,50,50,,,,,1,20,,,,1,,460
13,p-p-13,94,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,MeOH,25,50,50,,,,,1,20,,,,1,,350
46,p-p-20,95,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,MeOH,50,50,50,,,,,1,20,,,,1,,0
47,p-p-21,96,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,EtOH,50,50,50,,,,,1,20,,,,1,,0
48,p-p-22,97,"Chem. Commun., 1998, 2689–2690",oct-1-eneH2,Ni,oct-1-ene,H2,EtOH,50,50,50,,,,,1,20,,,,1,,0
49,p-c-14,98,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,94,,24,,
50,p-c-15,99,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,96,,24,,
23,p-c-10,100,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,99,,16,,
24,p-c-11,101,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,99,,16,,
51,p-c-16,102,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,96,,24,,
25,p-c-12,103,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,98,,24,,
52,p-c-17,104,"Dalton Trans., 2008, 938-945",4-bromotoluenemorpholine,Pd,4-bromotoluene,morpholine,dioxane,25,5,6,NaOtBu,750,,,0.83,10,,99,,16,,
