lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
299,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)(N(C)C)=O,p-o-111
289,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-101
261,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)CP(C1=C(OC)C=CC=C1)C2=CC=CC=C2OC,p-o-72
278,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,BrC1=CSC(P(C2=CC=CC=C2OC)C3=CC=CC=C3OC)=C1P(C4=CC=CC=C4)(C5=CC=CC=C5)=O,p-o-85
296,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(OC2=CC=C(OC)C=C2)OC3=CC=C(OC)C=C3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-108
274,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-83
254,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C(CC(C)C)CC(C)C)C(CC(C)C)CC(C)C)(=O)=O,p-o-69
351,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(C3=CC=CN3C)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-130
109,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3)(=O)=O,p-o-35
295,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-107
290,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(C)C)(N(C)C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-102
