lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
463,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(OC)C=C3)P(C4=CC=CC=C4C5=C(OC)C=CC=C5OC)C6=CC=CC=C6,p-o-160
138,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,O=[P](C1=C(OC)C=CC=C1)C2=CC=CC=C2P(C3=C(OC)C=CC=C3)C4=CC=CC=C4OC,p-o-41
108,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O]C1=C(P(C2=CC=CC=C2C3=CC=CC=C3)C4=CC=CC=C4)C=CC5=C1C=CC=C5,p-o-34
287,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C(C)C)C(C)C,p-o-99
271,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,O=P(C(C)C)(C(C)C)C1=CC=CC=C1P(C2=CC=CC=C2C(F)(F)F)C3=C(C(F)(F)F)C=CC=C3,p-o-80
292,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-104
245,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C5=CC=CC=C5,p-o-65
465,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(N(C)C)C=C3)P(C4=CC=CC=C4C5=C(OC)C=C(OC)C=C5OC)C6=CC=CC=C6,p-o-162
302,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3C)CCN2C4=C(C)C=C([H])C=C4[H])(O)=O,p-o-114
352,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(C3=CC=CS3)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-131
247,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S([N-]C1=CC=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3)(C)=O,c-n-9
