Filename,Ni_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-199-n-o-40,11,16,12,"[19, 17, 18]","[15, 13, 14]",2,1,"[3, 20, 21]","[4, 5, 22, 23]","[33, 36, 6, 7, 24, 25, 26, 31]",[21],"[20, 23]","[36, 22, 26]","[3, 20]","[4, 5, 21, 22]","[33, 6, 7, 23, 24, 25, 31]","[11, 2, 21, 20, 1]"
ligand-211-n-o-52,37,42,38,"[45, 43, 44]","[41, 40, 39]",7,1,"[8, 2, 46]","[3, 6, 9, 10, 47]","[4, 11, 12, 48, 17, 51, 27]",[46],"[3, 6]","[2, 4, 48, 51]","[2, 8]","[3, 9, 10, 47]","[4, 11, 12, 46, 17, 27]","[37, 7, 46, 3, 2, 1]"
ligand-247-c-n-9,1,43,47,"[45, 44, 46]","[50, 49, 48]",2,52,"[26, 53, 6, 7]","[3, 4, 8, 54, 55, 56, 25]","[5, 9, 10, 51, 21, 22, 57, 58, 59]","[6, 7]","[3, 4, 8, 26]","[5, 9, 10, 21, 25]","[26, 53]","[7, 54, 55, 56, 25]","[4, 58, 51, 22, 57, 59]","[1, 2, 7, 26, 52]"
ligand-248-c-o-4,1,43,47,"[45, 46, 44]","[50, 49, 48]",2,55,"[51, 6, 7]","[3, 4, 8, 52, 53, 26]","[64, 5, 68, 9, 10, 72, 76, 21, 56, 25, 60]","[6, 7]","[3, 4, 8, 26]","[5, 9, 10, 51, 21, 25]",[51],"[26, 52, 53]","[64, 68, 7, 72, 76, 56, 25, 60]","[1, 2, 7, 26, 51, 55]"
ligand-250-c-o-6,1,37,41,"[38, 39, 40]","[42, 44, 43]",2,48,"[45, 6, 7]","[3, 4, 8, 46, 47]","[66, 5, 70, 9, 10, 49, 50, 54, 58, 62]","[6, 7]","[3, 4, 8, 45]","[5, 9, 10, 46, 47, 49]",[45],"[47, 46, 7]","[66, 4, 70, 50, 54, 58, 62]","[1, 2, 7, 45, 48]"
ligand-259-c-o-9,1,33,37,"[36, 35, 34]","[40, 39, 38]",2,41,"[28, 6, 7]","[3, 4, 8, 26, 30]","[5, 9, 10, 20, 24, 29, 31]","[6, 7]","[3, 4, 8, 26]","[5, 9, 10, 20, 24, 28]",[28],"[26, 30]","[7, 24, 29, 31]","[1, 2, 7, 26, 28, 41]"
ligand-283-p-o-90,13,36,40,"[39, 38, 37]","[41, 42, 43]",1,4,"[25, 2, 14, 15]","[3, 8, 45, 46, 16, 17, 26, 27]","[35, 5, 7, 12, 44, 47, 18, 19, 20, 54, 28, 29, 30]","[2, 15, 25]","[3, 8, 16, 17, 26, 27]","[35, 5, 7, 12, 44, 14, 18, 19, 20, 28, 29, 30]",[14],"[3, 45, 46]","[2, 5, 47, 54]","[13, 1, 2, 3, 14, 4]"
ligand-321-n-n-34,1,28,24,"[30, 31, 29]","[26, 27, 25]",5,4,"[2, 3, 6, 15]","[7, 8, 48, 16, 17, 52]","[32, 36, 40, 9, 10, 44, 49, 50, 51, 18, 19, 53, 54, 55]","[3, 15]","[2, 48, 16, 17]","[40, 44, 49, 50, 51, 52, 18, 19]","[2, 6]","[3, 7, 8, 52]","[32, 36, 9, 10, 48, 53, 54, 55]","[1, 5, 3, 2, 4]"
ligand-337-n-n-45,1,22,26,"[24, 23, 25]","[28, 27, 29]",4,5,"[2, 3, 6, 14]","[33, 7, 8, 15, 16, 30]","[32, 37, 9, 10, 42, 44, 46, 48, 17, 18, 31]","[2, 6]","[33, 3, 7, 8]","[37, 9, 10, 44, 46, 30, 31]","[3, 14]","[2, 15, 16, 30]","[32, 33, 42, 48, 17, 18, 31]","[1, 4, 2, 3, 5]"
ligand-376-c-o-12,1,26,22,"[29, 27, 28]","[25, 23, 24]",2,41,"[38, 6, 7]","[3, 4, 39, 40, 8, 21]","[5, 9, 10, 16, 20]","[6, 7]","[3, 4, 8, 21]","[5, 38, 9, 10, 16, 20]",[38],"[40, 21, 39]","[20, 7]","[1, 2, 7, 21, 38, 41]"
ligand-384-p-n-20,2,3,7,"[5, 4, 6]","[8, 10, 9]",1,11,"[67, 69, 38, 12, 25]","[34, 68, 39, 40, 73, 13, 17, 82, 21, 26, 30]","[14, 15, 16, 18, 19, 20, 22, 23, 24, 27, 28, 29, 31, 32, 33, 35, 36, 37, 41, 42, 47, 49, 70, 71, 72, 78, 79]","[12, 25, 67]","[34, 68, 69, 13, 17, 82, 21, 26, 30]","[14, 15, 16, 18, 19, 20, 22, 23, 24, 27, 28, 29, 31, 32, 33, 35, 36, 37, 70, 71, 72, 73]","[38, 69]","[67, 39, 40, 73]","[68, 70, 41, 42, 78, 47, 79, 49, 82]","[2, 1, 67, 69, 11]"
ligand-390-p-n-26,34,35,39,"[38, 36, 37]","[40, 42, 41]",1,13,"[2, 5, 9, 43, 51]","[3, 4, 6, 10, 44, 14, 45, 52, 53]","[7, 8, 12, 15, 16, 46, 47, 54, 55, 59, 63, 71, 75]","[2, 43, 51]","[3, 4, 5, 44, 45, 52, 53]","[6, 71, 75, 46, 47, 54, 55, 59, 63]","[5, 9]","[2, 6, 10, 14]","[3, 4, 7, 8, 12, 15, 16]","[34, 1, 2, 5, 13]"
ligand-395-p-n-28,12,14,18,"[17, 16, 15]","[21, 20, 19]",1,26,"[2, 13, 22, 24, 27]","[3, 58, 69, 7, 73, 77, 47, 81, 23, 25, 28, 29]","[4, 6, 11, 30, 31, 35, 39, 48, 49, 59, 60, 70, 71, 72, 74, 75, 76, 78, 79, 80, 82, 83, 84]","[2, 22, 24]","[3, 69, 7, 73, 77, 81, 23, 25]","[4, 6, 11, 13, 70, 71, 72, 74, 75, 76, 78, 79, 80, 82, 83, 84]","[13, 27]","[3, 58, 47, 28, 29]","[2, 35, 4, 39, 48, 49, 59, 60, 30, 31]","[12, 1, 2, 3, 13, 26]"
ligand-410-p-p-30,10,12,16,"[14, 15, 13]","[19, 17, 18]",21,1,"[33, 2, 3, 35, 22, 31]","[32, 34, 4, 36, 7, 40, 44, 45, 46, 50, 54, 23, 58, 27]","[5, 6, 9, 20, 24, 25, 26, 28, 29, 30, 37, 38, 39, 41, 42, 43, 47, 48, 49, 51, 52, 53, 55, 56, 57, 59, 60, 61]","[3, 22, 31]","[32, 2, 4, 45, 46, 50, 23, 27]","[5, 7, 20, 24, 25, 26, 28, 29, 30, 47, 48, 49, 51, 52, 53]","[2, 33, 35]","[34, 3, 36, 7, 40, 44, 54, 58]","[4, 6, 9, 37, 38, 39, 41, 42, 43, 55, 56, 57, 59, 60, 61]","[10, 21, 3, 2, 1]"
ligand-415-n-n-84,1,6,2,"[9, 8, 7]","[5, 4, 3]",27,26,"[10, 11, 20, 13]","[12, 14, 15, 17, 22, 23]","[7, 16, 18, 21, 25, 28, 29]","[13, 20]","[10, 17, 22, 23]","[7, 12, 21, 25, 29]","[10, 11]","[12, 13, 14, 15]","[16, 17, 18, 28]","[1, 27, 13, 10, 26]"
ligand-429-n-n-98,1,26,22,"[27, 29, 28]","[25, 23, 24]",4,5,"[2, 3, 6, 14]","[7, 72, 73, 74, 8, 15, 16]","[32, 33, 9, 10, 75, 76, 17, 18, 30, 31]","[2, 6]","[7, 72, 8, 74]","[32, 3, 9, 10, 75, 76, 31]","[3, 14]","[72, 73, 15, 16]","[33, 2, 75, 76, 17, 18, 30]","[1, 4, 2, 72, 3, 5]"
ligand-432-p-c-30,45,10,14,"[12, 13, 11]","[16, 17, 15]",19,46,"[2, 47, 48, 20, 31]","[32, 1, 33, 3, 41, 42, 49, 21, 22, 58]","[4, 6, 18, 23, 24, 25, 26, 34, 35, 36, 43, 44, 50, 51, 59, 60, 81]","[2, 20, 31]","[32, 1, 33, 3, 21, 22]","[34, 35, 36, 6, 4, 26, 81, 18, 23, 24, 25, 58]","[47, 48]","[41, 42, 49, 58]","[1, 43, 44, 50, 51, 59, 60]","[45, 19, 2, 1, 58, 47, 46]"
ligand-434-c-n-10,13,1,5,"[4, 3, 2]","[8, 7, 6]",14,55,"[16, 50, 46, 15]","[9, 10, 47, 17, 51, 53]","[11, 12, 48, 49, 18, 19, 54]","[15, 16]","[9, 10, 46, 17]","[11, 12, 47, 18, 19]","[46, 50]","[47, 15, 51, 53]","[9, 48, 49, 54]","[13, 14, 15, 46, 55]"
ligand-451-n-o-18,11,12,16,"[15, 14, 13]","[19, 18, 17]",1,32,"[2, 20, 30]","[3, 4, 21, 22, 31]","[33, 37, 5, 38, 6, 23, 24, 25]","[2, 20]","[3, 4, 21, 22]","[37, 5, 38, 6, 23, 24, 25, 30]",[30],"[22, 31]","[25, 20, 33]","[11, 1, 20, 22, 30, 32]"
ligand-476-p-p-31,19,25,21,"[28, 27, 26]","[22, 23, 24]",18,20,"[10, 6, 31]","[32, 3, 36, 7, 40, 11, 12]","[2, 4, 9, 13, 14, 15, 29, 30, 33, 34, 35, 37, 38, 39, 41, 42, 43]",[6],"[3, 7]","[2, 4, 9, 30]","[10, 31]","[32, 36, 40, 11, 12]","[33, 34, 35, 37, 38, 39, 41, 42, 43, 13, 14, 15, 29]","[19, 18, 6, 1, 10, 20]"
