Filename,Pd_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-230-n-o-72,25,30,26,"[31, 33, 32]","[29, 28, 27]",12,1,"[2, 34, 13]","[3, 35, 7, 14, 15]","[4, 8, 10, 16, 17, 21, 23]",[34],"[3, 7]","[2, 4, 8, 10]","[2, 13]","[3, 35, 14, 15]","[34, 4, 16, 17, 21, 23]","[25, 12, 34, 3, 2, 1]"
ligand-231-n-o-73,25,30,26,"[32, 33, 31]","[28, 29, 27]",12,1,"[2, 34, 13]","[3, 35, 7, 14, 15]","[4, 8, 10, 16, 17, 21, 23]",[34],"[3, 7]","[2, 4, 8, 10]","[2, 13]","[3, 35, 14, 15]","[34, 4, 16, 17, 21, 23]","[25, 12, 34, 3, 2, 1]"
ligand-232-n-o-74,23,28,24,"[31, 29, 30]","[26, 27, 25]",1,11,"[32, 2, 12]","[33, 3, 6, 13, 14]","[4, 7, 9, 15, 16, 20, 22]","[2, 12]","[33, 3, 13, 14]","[32, 4, 15, 16, 20, 22]",[32],"[3, 6]","[2, 4, 7, 9]","[23, 1, 2, 3, 32, 11]"
ligand-233-p-n-9,55,60,56,"[62, 63, 61]","[57, 58, 59]",1,54,"[2, 42, 45, 13, 47]","[3, 4, 43, 44, 46, 14, 15, 50, 51]","[5, 6, 7, 8, 48, 49, 16, 17, 18, 53, 23]","[2, 13, 42]","[3, 4, 43, 44, 45, 14, 15]","[5, 6, 7, 8, 46, 16, 17, 18, 23]","[45, 47]","[42, 46, 50, 51]","[43, 44, 48, 49, 53]","[55, 1, 42, 45, 54]"
ligand-234-p-n-10,52,57,53,"[59, 58, 60]","[54, 55, 56]",1,51,"[2, 42, 44, 13, 61]","[3, 4, 43, 14, 47, 48, 15, 62]","[5, 6, 7, 8, 45, 46, 16, 17, 50, 18, 23]","[2, 13, 61]","[3, 4, 42, 14, 15, 62]","[5, 6, 7, 8, 43, 16, 17, 18, 23]","[42, 44]","[43, 47, 48, 61]","[45, 46, 50, 62]","[52, 1, 61, 42, 51]"
ligand-235-p-n-11,52,57,53,"[59, 60, 58]","[54, 55, 56]",1,51,"[2, 42, 44, 13, 61]","[3, 4, 43, 14, 47, 48, 15]","[5, 6, 7, 8, 45, 46, 16, 17, 50, 18, 23]","[2, 13, 61]","[3, 4, 42, 14, 15]","[5, 6, 7, 8, 43, 16, 17, 18, 23]","[42, 44]","[43, 47, 48, 61]","[45, 46, 50]","[52, 1, 61, 42, 51]"
ligand-236-p-n-12,52,57,53,"[59, 58, 60]","[54, 55, 56]",1,51,"[2, 42, 44, 13, 61]","[3, 4, 43, 14, 47, 48, 15, 62, 63]","[64, 65, 5, 6, 7, 8, 45, 46, 16, 17, 50, 18, 23]","[2, 13, 61]","[3, 4, 42, 14, 15, 62, 63]","[64, 65, 5, 6, 7, 8, 43, 16, 17, 18, 23]","[42, 44]","[43, 47, 48, 61]","[45, 46, 50, 62, 63]","[52, 1, 61, 42, 51]"
ligand-237-p-n-13,52,57,53,"[58, 59, 60]","[54, 55, 56]",1,51,"[2, 42, 44, 13, 61]","[3, 4, 73, 43, 14, 47, 48, 15, 62]","[64, 5, 6, 7, 8, 45, 46, 16, 17, 50, 18, 23, 63]","[2, 13, 61]","[3, 4, 73, 42, 14, 15, 62]","[64, 5, 6, 7, 8, 43, 16, 17, 18, 23, 63]","[42, 44]","[43, 47, 48, 61]","[73, 45, 46, 50, 62]","[52, 1, 61, 42, 51]"
ligand-238-n-o-75,13,18,14,"[21, 20, 19]","[17, 16, 15]",12,1,"[24, 2, 22]","[3, 7, 23, 25, 26]","[4, 8, 10, 56, 27, 28, 31]",[22],"[3, 7]","[2, 4, 8, 10]","[2, 24]","[3, 23, 25, 26]","[4, 22, 56, 27, 28, 31]","[13, 12, 22, 3, 2, 1]"
ligand-239-n-o-76,13,18,14,"[21, 20, 19]","[17, 16, 15]",12,1,"[24, 2, 22]","[3, 7, 23, 25, 26]","[4, 38, 8, 10, 27, 28, 29]",[22],"[3, 7]","[2, 4, 8, 10]","[2, 24]","[3, 23, 25, 26]","[4, 38, 22, 27, 28, 29]","[13, 12, 22, 3, 2, 1]"
