Filename,Pd_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-031-p-p-10,3,8,4,"[11, 9, 10]","[6, 7, 5]",12,1,"[2, 15, 17, 19, 55, 28]","[13, 14, 16, 18, 20, 24, 29, 33, 37, 41, 45, 49, 53, 54, 56, 57]","[21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52]","[2, 15, 17]","[37, 41, 13, 14, 45, 16, 49, 18, 55]","[38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 57]","[19, 28, 55]","[33, 2, 20, 53, 54, 24, 57, 56, 29]","[13, 14, 21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36]","[3, 12, 2, 55, 1]"
ligand-032-p-p-11,3,8,4,"[9, 10, 11]","[5, 6, 7]",12,1,"[2, 15, 17, 19, 57, 28]","[13, 14, 16, 18, 20, 24, 29, 33, 37, 41, 45, 49, 53, 54, 55, 58, 59]","[21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 60]","[2, 15, 17]","[37, 41, 13, 14, 45, 16, 49, 18, 55]","[38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 57, 60]","[19, 28, 57]","[33, 20, 53, 54, 55, 24, 58, 59, 29]","[2, 21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 56, 60]","[3, 12, 2, 55, 57, 1]"
ligand-033-p-p-12,3,8,4,"[9, 11, 10]","[6, 7, 5]",12,1,"[2, 15, 17, 19, 28, 61]","[13, 14, 16, 18, 20, 24, 29, 33, 37, 41, 45, 49, 53, 54, 55, 57, 62, 63]","[21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 58, 59, 60]","[2, 15, 17]","[37, 41, 13, 14, 45, 16, 49, 18, 55]","[38, 39, 40, 42, 43, 44, 46, 47, 48, 50, 51, 52, 56, 57, 60]","[19, 28, 61]","[33, 20, 53, 54, 24, 57, 29, 62, 63]","[21, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 36, 55, 58, 59]","[3, 12, 2, 55, 57, 61, 1]"
ligand-035-p-p-14,1,2,6,"[5, 4, 3]","[9, 7, 8]",20,16,"[35, 10, 12, 13, 17, 22]","[11, 14, 15, 18, 19, 21, 23, 27, 31, 36, 40, 44, 48, 50, 58, 59]","[24, 25, 26, 28, 29, 30, 32, 33, 34, 37, 38, 39, 41, 42, 43, 45, 46, 47, 49, 53, 60, 61]","[10, 17, 35]","[36, 40, 11, 12, 44, 18, 19, 58, 59]","[21, 37, 38, 39, 41, 42, 43, 45, 46, 47, 48, 60, 61]","[12, 13, 22]","[10, 14, 15, 48, 50, 21, 23, 27, 31]","[11, 24, 25, 26, 28, 29, 30, 32, 33, 34, 49, 53, 58]","[1, 20, 10, 12, 16]"
ligand-036-p-p-15,10,12,16,"[13, 15, 14]","[18, 17, 19]",21,1,"[2, 35, 3, 39, 43, 22]","[36, 37, 38, 7, 4, 40, 41, 42, 44, 48, 52, 23, 27, 31]","[5, 6, 9, 20, 24, 25, 26, 28, 29, 30, 32, 33, 34, 45, 46, 47, 49, 50, 51, 53, 54, 55]","[3, 22, 35]","[2, 4, 36, 37, 38, 23, 27, 31]","[5, 7, 20, 24, 25, 26, 28, 29, 30, 32, 33, 34]","[2, 39, 43]","[3, 7, 40, 41, 42, 44, 48, 52]","[4, 6, 9, 45, 46, 47, 49, 50, 51, 53, 54, 55]","[10, 21, 3, 2, 1]"
ligand-037-p-o-1,2,7,3,"[9, 10, 8]","[4, 6, 5]",11,48,"[1, 47, 14, 25]","[36, 12, 13, 46, 15, 49, 16, 26, 27]","[17, 18, 19, 20, 28, 29, 30, 31, 37, 41, 50, 54, 58, 62]","[1, 14, 25]","[36, 12, 13, 15, 16, 26, 27]","[37, 46, 17, 18, 19, 20, 30, 28, 29, 62, 31]",[47],"[49, 46]","[36, 41, 50, 54, 58]","[2, 11, 1, 36, 46, 47, 48]"
ligand-038-p-o-2,46,47,51,"[49, 48, 50]","[52, 54, 53]",1,5,"[8, 9, 2, 4]","[32, 3, 6, 7, 13, 18, 22, 28]","[33, 37, 10, 12, 17, 19, 21, 23, 27, 29, 31]","[2, 8, 9]","[32, 3, 13, 18, 22, 28]","[33, 4, 37, 10, 12, 17, 19, 21, 23, 27, 29, 31]",[4],"[3, 6, 7]","[2, 10]","[46, 1, 2, 3, 4, 5]"
ligand-039-p-o-3,15,20,16,"[22, 23, 21]","[17, 19, 18]",1,5,"[24, 2, 4, 37]","[33, 3, 6, 7, 38, 39, 11, 25, 29]","[8, 10, 14, 26, 27, 28, 30, 31, 32, 34, 35, 36, 40, 41, 42, 43]","[2, 24, 37]","[33, 3, 38, 39, 11, 25, 29]","[4, 8, 10, 14, 26, 27, 28, 30, 31, 32, 34, 35, 36, 40, 41, 42, 43]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-041-p-o-5,16,21,17,"[24, 22, 23]","[20, 18, 19]",1,5,"[25, 2, 4, 36]","[3, 6, 7, 37, 38, 11, 26, 27]","[39, 8, 40, 41, 10, 46, 15, 28, 29, 30, 31]","[2, 25, 36]","[3, 37, 38, 11, 26, 27]","[4, 39, 8, 40, 41, 10, 46, 15, 28, 29, 30, 31]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-042-p-p-16,2,3,7,"[4, 6, 5]","[9, 8, 10]",16,17,"[1, 38, 13, 48, 18, 28]","[39, 40, 11, 12, 14, 15, 49, 50, 19, 20, 29, 30]","[21, 22, 23, 31, 32, 33, 41, 42, 43, 51, 52, 53, 58, 59, 60, 61]","[1, 18, 28]","[11, 12, 13, 19, 20, 29, 30]","[32, 33, 14, 15, 21, 22, 23, 58, 59, 31]","[13, 38, 48]","[1, 39, 40, 14, 15, 49, 50]","[41, 42, 11, 12, 43, 51, 52, 53, 60, 61]","[2, 16, 1, 13, 17]"
ligand-043-p-p-17,3,4,8,"[7, 5, 6]","[11, 10, 9]",12,1,"[2, 41, 17, 51, 21, 31]","[32, 33, 42, 43, 13, 14, 15, 18, 19, 52, 53, 22, 23]","[16, 20, 24, 25, 26, 34, 35, 36, 44, 45, 46, 54, 55, 56, 61, 62, 71, 72]","[2, 41, 51]","[42, 43, 13, 14, 15, 52, 53]","[71, 72, 44, 45, 46, 16, 17, 20, 54, 55, 56]","[17, 21, 31]","[32, 33, 15, 18, 19, 22, 23]","[34, 35, 36, 2, 16, 20, 24, 25, 26, 61, 62]","[3, 12, 2, 15, 17, 1]"
ligand-044-p-p-18,3,4,8,"[6, 7, 5]","[10, 9, 11]",12,1,"[2, 41, 75, 21, 24, 58]","[13, 14, 15, 17, 22, 23, 25, 26, 27, 42, 43, 44, 59, 60, 61, 76, 77, 78]","[9, 16, 18, 19, 20, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50, 62, 63, 64, 65, 66, 67, 79, 80, 81, 82, 83, 84]","[2, 24, 41]","[42, 43, 13, 14, 15, 44, 25, 26, 27]","[9, 16, 17, 20, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50]","[21, 58, 75]","[76, 77, 78, 17, 22, 23, 59, 60, 61]","[15, 18, 19, 62, 63, 64, 65, 66, 67, 79, 80, 81, 82, 83, 84]","[3, 12, 2, 15, 17, 21, 1]"
ligand-046-p-p-20,2,3,7,"[6, 4, 5]","[10, 9, 8]",17,16,"[1, 36, 13, 45, 18, 27]","[37, 38, 11, 12, 14, 15, 46, 47, 19, 20, 28, 29]","[21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49, 50, 54, 60, 66, 72]","[13, 36, 45]","[1, 37, 38, 14, 15, 46, 47]","[39, 40, 41, 11, 12, 48, 49, 50, 54, 60]","[1, 18, 27]","[11, 12, 13, 19, 20, 28, 29]","[32, 66, 72, 14, 15, 21, 22, 23, 30, 31]","[2, 17, 13, 1, 16]"
ligand-047-p-p-21,3,8,4,"[11, 10, 9]","[5, 7, 6]",12,1,"[2, 39, 48, 17, 21, 30]","[32, 40, 41, 13, 14, 15, 49, 50, 18, 19, 22, 23, 31]","[16, 20, 24, 25, 26, 33, 34, 35, 42, 43, 44, 51, 52, 53, 57, 58, 59, 60]","[2, 39, 48]","[40, 41, 13, 14, 15, 49, 50]","[42, 43, 44, 16, 17, 51, 20, 52, 53, 59, 60]","[17, 21, 30]","[32, 15, 18, 19, 22, 23, 31]","[33, 2, 35, 26, 34, 16, 20, 24, 25, 58, 57]","[3, 12, 2, 15, 17, 1]"
ligand-048-p-p-22,3,8,4,"[11, 10, 9]","[5, 7, 6]",12,1,"[2, 37, 45, 17, 21, 29]","[38, 39, 13, 14, 15, 46, 47, 18, 19, 22, 23, 30, 31]","[16, 20, 24, 25, 26, 32, 33, 34, 40, 41, 42, 48, 49, 50, 53, 54, 55, 56]","[2, 37, 45]","[38, 39, 13, 14, 15, 46, 47]","[40, 41, 42, 16, 17, 48, 49, 20, 50, 55, 56]","[17, 21, 29]","[15, 18, 19, 22, 23, 30, 31]","[32, 33, 2, 34, 16, 20, 53, 54, 24, 25, 26]","[3, 12, 2, 15, 17, 1]"
ligand-053-p-c-18,45,14,10,"[15, 17, 16]","[12, 11, 13]",19,46,"[2, 47, 48, 20, 31]","[32, 1, 33, 3, 41, 42, 49, 21, 22]","[4, 6, 18, 23, 24, 25, 26, 34, 35, 36, 43, 44, 50, 51]","[2, 20, 31]","[32, 1, 33, 3, 21, 22]","[34, 35, 36, 6, 4, 47, 18, 23, 24, 25, 26]","[47, 48]","[1, 41, 42, 49]","[2, 6, 43, 44, 50, 51]","[45, 19, 2, 1, 47, 46]"
ligand-054-p-c-19,45,10,14,"[12, 13, 11]","[17, 16, 15]",19,46,"[2, 47, 48, 20, 31]","[32, 1, 33, 3, 41, 42, 49, 21, 22]","[4, 6, 18, 23, 24, 25, 26, 34, 35, 36, 43, 44, 50, 51, 69]","[2, 20, 31]","[32, 1, 33, 3, 21, 22]","[34, 35, 36, 6, 69, 4, 47, 18, 23, 24, 25, 26]","[47, 48]","[1, 41, 42, 49]","[2, 6, 43, 44, 50, 51]","[45, 19, 2, 1, 47, 46]"
ligand-055-p-c-20,45,10,14,"[12, 13, 11]","[17, 16, 15]",19,46,"[2, 47, 48, 20, 31]","[32, 1, 33, 3, 41, 42, 49, 21, 22]","[4, 6, 18, 23, 24, 25, 26, 34, 35, 36, 43, 44, 50, 51, 78]","[2, 20, 31]","[32, 1, 33, 3, 21, 22]","[34, 35, 36, 6, 4, 78, 47, 18, 23, 24, 25, 26]","[47, 48]","[1, 41, 42, 49]","[2, 6, 43, 44, 50, 51]","[45, 19, 2, 1, 47, 46]"
ligand-056-p-c-21,69,74,70,"[77, 75, 76]","[73, 72, 71]",46,18,"[44, 47, 20, 21, 58]","[1, 2, 45, 48, 49, 17, 19, 22, 59, 60]","[3, 6, 8, 9, 23, 24, 28, 32, 33, 50, 51, 52, 53, 61, 62, 63, 64]","[44, 47, 58]","[2, 45, 48, 49, 59, 60]","[64, 1, 3, 8, 50, 51, 52, 53, 61, 62, 63]","[20, 21]","[1, 17, 19, 22]","[32, 33, 2, 6, 9, 23, 24, 28]","[69, 46, 44, 2, 1, 20, 18]"
ligand-057-p-c-22,63,68,64,"[71, 69, 70]","[65, 66, 67]",46,18,"[44, 47, 20, 21, 55]","[1, 2, 45, 48, 49, 17, 19, 22, 56, 57]","[3, 6, 8, 9, 23, 24, 28, 32, 33, 50, 51, 58, 59, 72, 76, 84, 85, 88]","[44, 47, 55]","[2, 45, 48, 49, 56, 57]","[1, 3, 8, 72, 76, 50, 51, 84, 85, 88, 58, 59]","[20, 21]","[1, 17, 19, 22]","[32, 33, 2, 6, 9, 23, 24, 28]","[63, 46, 44, 2, 1, 20, 18]"
ligand-058-p-c-23,61,66,62,"[69, 67, 68]","[65, 64, 63]",38,18,"[36, 39, 50, 20, 21]","[1, 2, 37, 40, 41, 17, 51, 52, 19, 22]","[3, 6, 8, 9, 23, 24, 25, 42, 43, 44, 45, 53, 54, 55, 56, 70, 81]","[36, 39, 50]","[2, 37, 40, 41, 51, 52]","[1, 3, 8, 42, 43, 44, 45, 53, 54, 55, 56]","[20, 21]","[1, 17, 19, 22]","[2, 6, 70, 9, 81, 23, 24, 25]","[61, 38, 36, 2, 1, 20, 18]"
ligand-059-p-c-24,55,60,56,"[63, 61, 62]","[57, 59, 58]",38,18,"[36, 39, 47, 20, 21]","[1, 2, 37, 40, 41, 48, 49, 17, 19, 22]","[3, 6, 8, 9, 23, 24, 25, 42, 43, 50, 51, 64, 68, 76, 77, 80, 88, 99]","[36, 39, 47]","[2, 37, 40, 41, 48, 49]","[64, 1, 3, 68, 8, 42, 43, 76, 77, 80, 50, 51]","[20, 21]","[1, 17, 19, 22]","[2, 99, 6, 9, 23, 24, 25, 88]","[55, 38, 36, 2, 1, 20, 18]"
ligand-060-p-c-25,59,64,60,"[67, 65, 66]","[63, 62, 61]",36,18,"[34, 37, 48, 20, 21]","[1, 2, 35, 68, 38, 39, 49, 50, 17, 19]","[3, 6, 8, 9, 22, 23, 40, 41, 42, 43, 51, 52, 53, 54, 69, 70, 71]","[34, 37, 48]","[2, 35, 38, 39, 49, 50]","[1, 3, 8, 40, 41, 42, 43, 51, 52, 53, 54]","[20, 21]","[1, 68, 17, 19]","[2, 69, 6, 70, 71, 9, 22, 23]","[59, 36, 34, 2, 1, 20, 18]"
ligand-071-n-n-2,1,2,6,"[5, 4, 3]","[9, 8, 7]",29,28,"[21, 10, 11, 13]","[12, 14, 15, 18, 24, 25]","[16, 17, 19, 22, 23, 27]","[13, 21]","[10, 18, 24, 25]","[12, 22, 23, 27]","[10, 11]","[12, 13, 14, 15]","[16, 17, 18, 19]","[1, 29, 13, 10, 28]"
ligand-072-n-n-3,1,2,6,"[5, 4, 3]","[8, 9, 7]",27,26,"[10, 11, 20, 13]","[12, 14, 15, 18, 23, 24]","[16, 17, 19, 21, 22, 25]","[13, 20]","[10, 18, 23, 24]","[12, 21, 22, 25]","[10, 11]","[12, 13, 14, 15]","[16, 17, 18, 19]","[1, 27, 13, 10, 26]"
ligand-073-n-o-1,44,49,45,"[52, 50, 51]","[48, 47, 46]",1,14,"[2, 6, 15]","[3, 4, 9, 16, 17]","[34, 5, 10, 12, 18, 19, 24]","[2, 15]","[3, 4, 16, 17]","[34, 5, 6, 18, 19, 24]",[6],"[9, 4]","[2, 5, 10, 12]","[44, 1, 2, 4, 6, 14]"
ligand-074-n-o-2,43,48,44,"[51, 49, 50]","[47, 46, 45]",1,13,"[2, 6, 14]","[3, 4, 9, 15, 16]","[33, 5, 10, 17, 18, 52, 23]","[2, 14]","[3, 4, 15, 16]","[33, 5, 6, 17, 18, 23]",[6],"[9, 4]","[2, 5, 10, 52]","[43, 1, 2, 4, 6, 13]"
ligand-075-n-o-3,43,48,44,"[51, 49, 50]","[47, 46, 45]",1,13,"[2, 6, 14]","[3, 4, 9, 15, 16]","[33, 5, 10, 17, 18, 52, 23]","[2, 14]","[3, 4, 15, 16]","[33, 5, 6, 17, 18, 23]",[6],"[9, 4]","[2, 5, 10, 52]","[43, 1, 2, 4, 6, 13]"
ligand-076-n-o-4,43,48,44,"[51, 50, 49]","[47, 46, 45]",1,13,"[2, 6, 14]","[3, 4, 9, 15, 16]","[33, 5, 10, 17, 18, 52, 23]","[2, 14]","[3, 4, 15, 16]","[33, 5, 6, 17, 18, 23]",[6],"[9, 4]","[2, 5, 10, 52]","[43, 1, 2, 4, 6, 13]"
ligand-077-n-o-5,43,48,44,"[51, 50, 49]","[46, 47, 45]",1,13,"[2, 6, 14]","[3, 4, 9, 15, 16]","[33, 5, 10, 17, 18, 52, 23]","[2, 14]","[3, 4, 15, 16]","[33, 5, 6, 17, 18, 23]",[6],"[9, 4]","[2, 5, 10, 52]","[43, 1, 2, 4, 6, 13]"
ligand-078-n-o-6,43,48,44,"[51, 49, 50]","[47, 46, 45]",1,13,"[2, 6, 14]","[3, 4, 9, 15, 16]","[33, 5, 10, 11, 17, 18, 23]","[2, 14]","[3, 4, 15, 16]","[33, 5, 6, 17, 18, 23]",[6],"[9, 4]","[2, 5, 10, 11]","[43, 1, 2, 4, 6, 13]"
ligand-079-n-o-7,43,48,44,"[51, 50, 49]","[47, 46, 45]",1,13,"[2, 6, 14]","[3, 4, 9, 15, 16]","[33, 5, 10, 11, 17, 18, 23]","[2, 14]","[3, 4, 15, 16]","[33, 5, 6, 17, 18, 23]",[6],"[9, 4]","[2, 5, 10, 11]","[43, 1, 2, 4, 6, 13]"
ligand-080-p-o-6,29,48,52,"[50, 49, 51]","[55, 54, 53]",1,31,"[2, 3, 4, 5]","[6, 9, 12, 16, 21, 25]","[32, 7, 8, 11, 13, 46, 15, 47, 17, 22, 24, 30]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 46, 15, 47, 17, 22, 24, 30]",[3],"[2, 6]","[32, 7, 9]","[29, 1, 2, 3, 31]"
ligand-081-p-o-7,29,47,51,"[49, 48, 50]","[54, 52, 53]",1,31,"[2, 3, 4, 5]","[6, 9, 12, 16, 21, 25]","[32, 7, 8, 11, 13, 46, 15, 17, 22, 55, 24, 30]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 46, 15, 17, 22, 55, 24, 30]",[3],"[2, 6]","[32, 7, 9]","[29, 1, 2, 3, 31]"
ligand-082-p-o-8,29,47,51,"[49, 48, 50]","[54, 52, 53]",1,31,"[2, 3, 4, 5]","[6, 9, 12, 16, 21, 25]","[32, 7, 8, 11, 13, 46, 15, 17, 22, 55, 24, 30]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 46, 15, 17, 22, 55, 24, 30]",[3],"[2, 6]","[32, 7, 9]","[29, 1, 2, 3, 31]"
ligand-083-p-o-9,29,46,50,"[47, 49, 48]","[53, 51, 52]",1,31,"[2, 3, 4, 5]","[6, 9, 12, 16, 21, 25]","[32, 65, 7, 8, 11, 13, 15, 17, 54, 22, 24, 30]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[65, 6, 8, 11, 13, 15, 17, 54, 22, 24, 30]",[3],"[2, 6]","[32, 7, 9]","[29, 1, 2, 3, 31]"
ligand-084-p-o-10,28,31,35,"[33, 34, 32]","[38, 36, 37]",1,29,"[2, 3, 4, 5]","[6, 9, 12, 16, 20, 24]","[7, 8, 40, 39, 11, 13, 15, 49, 21, 54, 23, 59]","[2, 4, 5]","[3, 9, 12, 16, 20, 24]","[6, 39, 8, 40, 11, 13, 15, 49, 21, 54, 23]",[3],"[2, 6]","[7, 9, 59]","[28, 1, 2, 3, 29]"
ligand-085-p-o-11,16,21,17,"[24, 22, 23]","[18, 20, 19]",1,5,"[25, 2, 4, 54]","[3, 6, 7, 11, 55, 56, 57, 26, 27]","[35, 8, 10, 28, 15, 29, 30, 58, 59, 60, 61, 62, 63]","[2, 25, 54]","[3, 11, 55, 56, 57, 26, 27]","[35, 4, 8, 10, 28, 15, 29, 30, 58, 59, 60, 61, 62, 63]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-086-p-o-12,15,20,16,"[23, 21, 22]","[19, 17, 18]",1,5,"[24, 2, 35, 4]","[3, 36, 37, 6, 7, 11, 25, 26]","[38, 39, 8, 40, 10, 45, 14, 27, 28, 29, 30]","[2, 24, 35]","[3, 36, 37, 11, 25, 26]","[4, 38, 39, 8, 40, 10, 45, 14, 27, 28, 29, 30]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-087-p-o-13,16,21,17,"[24, 22, 23]","[18, 19, 20]",1,5,"[25, 2, 4, 54]","[3, 6, 7, 59, 11, 55, 26, 27, 63]","[8, 10, 15, 28, 29, 30, 35, 56, 57, 58, 60, 61, 62, 64, 65, 66]","[2, 25, 54]","[3, 59, 11, 55, 26, 27, 63]","[4, 8, 10, 15, 28, 29, 30, 35, 56, 57, 58, 60, 61, 62, 64, 65, 66]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-088-p-o-14,15,20,16,"[23, 21, 22]","[19, 17, 18]",1,5,"[24, 2, 35, 4]","[3, 36, 37, 6, 7, 11, 25, 26]","[38, 39, 8, 40, 10, 45, 14, 27, 28, 29, 30]","[2, 24, 35]","[3, 36, 37, 11, 25, 26]","[4, 38, 39, 8, 40, 10, 45, 14, 27, 28, 29, 30]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-089-p-o-15,65,73,69,"[76, 74, 75]","[71, 72, 70]",1,2,"[40, 56, 3, 4]","[5, 39, 41, 51, 21, 55, 27]","[64, 66, 67, 38, 6, 10, 42, 16, 49, 52, 20, 54, 28, 29]","[4, 40, 56]","[3, 39, 41, 51, 55, 27]","[64, 66, 5, 38, 67, 42, 49, 52, 21, 54, 28, 29]",[3],"[21, 4, 5]","[6, 10, 16, 20, 27]","[65, 1, 4, 3, 2]"
ligand-090-p-o-16,55,58,62,"[59, 61, 60]","[63, 65, 64]",1,2,"[40, 51, 3, 4]","[5, 39, 41, 46, 50, 21, 27]","[67, 68, 38, 6, 10, 42, 47, 16, 49, 20, 56, 57, 28, 29]","[4, 40, 51]","[3, 39, 41, 46, 50, 27]","[67, 5, 38, 68, 42, 47, 49, 21, 56, 57, 28, 29]",[3],"[21, 4, 5]","[6, 10, 16, 20, 27]","[55, 1, 4, 3, 2]"
ligand-091-p-o-17,55,58,62,"[59, 61, 60]","[63, 65, 64]",1,2,"[40, 51, 3, 4]","[5, 39, 41, 46, 50, 21, 27]","[66, 67, 38, 6, 10, 42, 47, 16, 49, 20, 56, 57, 28, 29]","[4, 40, 51]","[3, 39, 41, 46, 50, 27]","[66, 5, 38, 67, 42, 47, 49, 21, 56, 57, 28, 29]",[3],"[21, 4, 5]","[6, 10, 16, 20, 27]","[55, 1, 4, 3, 2]"
ligand-092-p-o-13,15,16,20,"[17, 18, 19]","[21, 23, 22]",1,5,"[24, 2, 4, 38]","[3, 6, 7, 39, 40, 11, 25, 26]","[8, 41, 42, 43, 10, 14, 48, 49, 27, 28, 29]","[2, 24, 38]","[3, 39, 40, 11, 25, 26]","[4, 8, 41, 42, 43, 10, 14, 48, 49, 27, 28, 29]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-093-p-o-19,15,20,16,"[21, 22, 23]","[17, 18, 19]",1,5,"[2, 45, 4, 28]","[3, 6, 7, 11, 46, 47, 48, 29, 30, 31]","[8, 10, 14, 32, 33, 34, 35, 36, 37, 49, 50, 51, 52, 53, 54]","[2, 28, 45]","[3, 11, 46, 47, 48, 29, 30, 31]","[4, 8, 10, 14, 32, 33, 34, 35, 36, 37, 49, 50, 51, 52, 53, 54]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-094-p-o-20,28,30,34,"[32, 31, 33]","[37, 35, 36]",1,29,"[2, 3, 4, 5]","[6, 9, 12, 16, 20, 24]","[38, 7, 8, 40, 41, 11, 39, 13, 15, 21, 23, 58]","[2, 4, 5]","[3, 9, 12, 16, 20, 24]","[6, 39, 8, 40, 41, 11, 38, 13, 15, 21, 23]",[3],"[2, 6]","[7, 9, 58]","[28, 1, 2, 3, 29]"
ligand-095-p-o-21,25,27,31,"[29, 30, 28]","[34, 33, 32]",1,26,"[2, 3, 4, 5]","[58, 7, 9, 13, 17, 21]","[6, 37, 8, 38, 10, 36, 12, 35, 18, 20, 56, 61]","[2, 4, 5]","[3, 7, 9, 13, 17, 21]","[35, 58, 6, 37, 8, 38, 10, 12, 36, 18, 20]",[3],"[2, 58]","[7, 56, 61]","[25, 1, 2, 3, 26]"
ligand-096-p-o-22,15,16,20,"[17, 19, 18]","[23, 21, 22]",1,5,"[24, 2, 4, 37]","[3, 6, 7, 38, 39, 40, 11, 25, 26]","[32, 66, 8, 41, 42, 43, 44, 45, 10, 14, 52, 27, 28]","[2, 24, 37]","[3, 38, 39, 40, 11, 25, 26]","[32, 66, 4, 8, 41, 42, 43, 44, 45, 10, 14, 52, 27, 28]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-097-p-o-23,15,20,16,"[23, 21, 22]","[18, 19, 17]",1,5,"[24, 2, 32, 4]","[33, 3, 34, 35, 6, 7, 11, 25, 26]","[36, 37, 38, 8, 39, 40, 10, 14, 47, 27, 28, 62, 63]","[2, 24, 32]","[33, 3, 34, 35, 11, 25, 26]","[36, 37, 38, 4, 8, 39, 40, 10, 14, 47, 27, 28, 62, 63]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-098-p-o-24,15,16,20,"[17, 19, 18]","[22, 21, 23]",1,5,"[24, 2, 4, 31]","[32, 33, 3, 34, 6, 7, 11, 25, 26]","[35, 36, 37, 38, 39, 8, 10, 46, 14, 63, 27, 28, 61]","[2, 24, 31]","[32, 33, 3, 34, 11, 25, 26]","[35, 36, 37, 38, 39, 4, 8, 10, 46, 14, 63, 27, 28, 61]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-099-p-o-25,15,16,20,"[19, 17, 18]","[23, 22, 21]",1,5,"[24, 2, 4, 31]","[32, 33, 3, 34, 6, 7, 11, 25, 26]","[35, 36, 37, 38, 39, 8, 10, 46, 14, 61, 27, 28, 63]","[2, 24, 31]","[32, 33, 3, 34, 11, 25, 26]","[35, 36, 37, 38, 39, 4, 8, 10, 46, 14, 61, 27, 28, 63]",[4],"[3, 6, 7]","[8, 2]","[15, 1, 2, 3, 4, 5]"
ligand-100-p-o-26,3,8,4,"[10, 11, 9]","[5, 7, 6]",1,13,"[24, 2, 12, 37]","[33, 38, 42, 14, 15, 16, 45, 20, 25, 29]","[17, 18, 19, 21, 22, 23, 26, 27, 28, 30, 31, 32, 34, 35, 36, 39, 40, 41, 43, 44, 46, 47, 48, 49]","[2, 24, 37]","[33, 38, 42, 12, 45, 14, 15, 25, 29]","[16, 20, 26, 27, 28, 30, 31, 32, 34, 35, 36, 39, 40, 41, 43, 44, 46, 47, 48, 49]",[12],"[16, 2, 20]","[14, 15, 17, 18, 19, 21, 22, 23]","[3, 1, 2, 12, 13]"
ligand-101-p-o-27,3,4,8,"[5, 6, 7]","[11, 10, 9]",1,13,"[2, 18, 12, 31]","[32, 36, 39, 14, 15, 16, 17, 19, 23, 27]","[20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 37, 38, 40, 41, 42, 43, 47, 51, 55, 59, 63, 67]","[2, 18, 31]","[32, 36, 39, 12, 14, 15, 19, 23, 27]","[16, 17, 20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 37, 38, 40, 41, 42, 67]",[12],"[16, 17, 2]","[43, 14, 47, 15, 51, 55, 59, 63]","[3, 1, 2, 12, 13]"
